Country,Count,Average Success Rate,Average Excess Path Length
China,118,1.0,5
Vietnam,109,0.9166666666666666,1
Japan,91,0.9375,4
Russia,88,1.0,1
Canada,76,0.9090909090909091,3
United_Arab_Emirates,64,0.8571428571428571,2
Italy,58,0.8181818181818182,0
Germany,55,0.5555555555555556,2
Kazakhstan,54,0.5,0
Dubai,50,0.8709677419354839,3
Afghanistan,48,0.9,9
Brazil,47,0.8181818181818182,6
Hungary,47,0.975,1
Iraq,44,1.0,12
Republic_of_China,42,0.75,5
Australia,40,0.8,1
Peru,40,0.8666666666666667,11
Tanzania,39,0.9333333333333333,6
South_Africa,38,0.8,4
Cuba,38,0.8,10
Finland,38,0.8461538461538461,4
Sweden,37,0.9333333333333333,3
Czech_Republic,37,0.8461538461538461,0
Hong_Kong,37,0.875,0
Portugal,36,0.9166666666666666,1
Mexico,36,1.0,6
Jamaica,35,1.0,0
Zimbabwe,35,0.8723404255319149,3
Korea,35,0.0,0
Jordan,35,0.7647058823529411,0
Niger,34,0.9,1
Chile,34,0.9473684210526315,1
Venezuela,34,0.9285714285714286,4
Dominican_Republic,34,0.8181818181818182,0
Greece,32,1.0,2
Greenland,32,0.8636363636363636,2
Argentina,31,0.8571428571428571,13
Poland,31,0.9868421052631579,1
India,31,0.75,3
Maldives,30,0.9090909090909091,3
Indonesia,30,1.0,1
North_Korea,30,0.9375,23
Austria,30,0.9117647058823529,6
Ireland,30,0.9661016949152542,2
Denmark,30,0.4,3
Israel,30,0.4166666666666667,3
United_States,29,0.9473684210526315,1
Croatia,29,1.0,3
South_Korea,29,0.8421052631578947,2
France,28,0.896551724137931,2
United_Kingdom,28,0.9473684210526315,1
Paraguay,28,0.85,5
Egypt,28,0.972972972972973,3
Ecuador,27,1.0,4
Thailand,27,0.8,1
Iran,26,0.6666666666666666,2
Nepal,26,0.9411764705882353,14
Panama,26,0.96,19
Pakistan,25,0.6666666666666666,4
Vatican_City,25,0.875,3
Iceland,25,0.8888888888888888,1
Ukraine,24,0.9642857142857143,3
Ethiopia,24,0.9285714285714286,0
Norway,24,1.0,2
Sierra_Leone,24,0.9166666666666666,1
Madagascar,23,1.0,1
Libya,23,0.9583333333333334,5
Uganda,23,0.875,1
Turkey,22,0.625,3
Switzerland,22,0.5714285714285714,1
Cambodia,22,0.8947368421052632,1
Republic_of_Ireland,22,0.8928571428571429,10
Gaza_Strip,22,1.0,1
Philippines,22,0.5,5
Haiti,22,1.0,2
Mauritius,21,0.7,1
Kenya,21,0.6363636363636364,1
Senegal,21,0.8,1
Tunisia,21,0.8909090909090909,4
Cameroon,21,0.9166666666666666,0
Belgium,20,0.875,0
Cyprus,20,0.96875,2
Serbia_and_Montenegro,20,1.0,4
Kuwait,20,0.75,3
Moldova,20,0.8333333333333334,1
Spain,20,0.6923076923076923,0
Sudan,20,0.8181818181818182,4
Colombia,19,1.0,6
The_Bahamas,19,0.75,3
Bulgaria,19,0.6363636363636364,4
Tibet,19,1.0,13
Saudi_Arabia,19,0.918918918918919,1
Costa_Rica,19,0.9574468085106383,1
Uruguay,18,0.92,0
Zambia,18,0.9354838709677419,10
Taiwan,18,0.8666666666666667,3
Somalia,17,0.9615384615384616,3
British_Virgin_Islands,17,0.9318181818181818,2
Swaziland,17,0.9333333333333333,2
New_Zealand,17,0.9,1
Laos,17,0.9310344827586207,2
Lebanon,17,0.8857142857142857,5
Serbia,17,0.9120879120879121,1
Morocco,17,0.8571428571428571,2
Rwanda,17,0.8518518518518519,14
Papua_New_Guinea,17,0.9523809523809523,10
Syria,16,0.9428571428571428,3
Monaco,16,0.7692307692307693,2
Yemen,16,0.95,1
Romania,16,0.75,1
Malaysia,16,0.9411764705882353,3
Nigeria,16,0.9333333333333333,2
Slovenia,16,0.8823529411764706,0
Chad,16,0.9,2
Bhutan,16,0.9375,0
Malta,16,0.8695652173913043,4
Liechtenstein,16,0.9375,1
Liberia,16,1.0,2
Estonia,15,1.0,3
Bangladesh,15,0.9130434782608695,4
Latvia,15,1.0,0
Slovakia,15,0.8125,5
Namibia,15,0.9,3
Suriname,15,0.8333333333333334,1
Benin,15,0.9375,0
Djibouti,15,1.0,3
Saint_Lucia,15,0.6666666666666666,6
Barbados,15,0.9523809523809523,2
Bahrain,15,0.9722222222222222,0
Western_Sahara,14,1.0,16
Puerto_Rico,14,0.8125,5
Trinidad_and_Tobago,14,1.0,5
Qatar,14,0.75,9
Burkina_Faso,14,0.8823529411764706,5
Republic_of_Macedonia,14,0.9,2
Fiji,14,0.9090909090909091,3
Gabon,14,0.9333333333333333,2
El_Salvador,14,0.8846153846153846,0
Turks_and_Caicos_Islands,13,1.0,1
Belize,13,0.7777777777777778,3
Netherlands,13,0.9411764705882353,12
Kosovo,13,0.7,1
Guatemala,13,0.9117647058823529,12
Samoa,13,0.9375,4
Vanuatu,13,1.0,3
People%27s_Republic_of_China,13,0.9583333333333334,1
Bermuda,13,0.8,5
Singapore,13,0.96,2
Tonga,13,1.0,1
Guyana,12,1.0,3
Ghana,12,0.6470588235294118,2
Bolivia,12,0.9642857142857143,1
Cape_Verde,12,0.9230769230769231,1
Abu_Dhabi,12,0.85,1
Dominica,12,0.8636363636363636,2
Sri_Lanka,12,0.8709677419354839,3
Eritrea,12,0.8888888888888888,3
Cocos_%28Keeling%29_Islands,12,0.9285714285714286,7
Kyrgyzstan,12,0.8571428571428571,0
Turkish_Republic_of_Northern_Cyprus,12,0.36363636363636365,9
Mali,12,0.9285714285714286,2
R%C3%A9union,11,0.9090909090909091,0
Myanmar,11,0.9285714285714286,0
Guinea,11,0.9375,1
Angola,11,0.9090909090909091,3
Algeria,11,0.8235294117647058,0
Togo,11,0.5714285714285714,0
Cook_Islands,11,0.0,0
Cayman_Islands,11,0.5333333333333333,1
Burundi,11,0.0,0
Aruba,11,0.38461538461538464,0
French_Guiana,10,0.8888888888888888,6
Solomon_Islands,10,0.9473684210526315,1
Belarus,10,0.9523809523809523,0
Christmas_Island,10,0.7647058823529411,1
Central_African_Republic,10,0.85,0
Malawi,10,0.875,3
Mozambique,10,0.6153846153846154,0
Gal%C3%A1pagos_Islands,10,0.8666666666666667,1
Oman,10,0.875,0
Brunei,10,0.9,8
Nicaragua,10,1.0,2
Lesotho,10,0.9210526315789473,0
Uzbekistan,10,0.9310344827586207,0
Luxembourg,10,1.0,2
Armenia,10,1.0,2
Lithuania,10,1.0,0
Tajikistan,9,0.9,0
Palestinian_territories,9,0.8666666666666667,4
East_Timor,9,0.9411764705882353,0
San_Marino,9,1.0,0
Anguilla,9,0.9545454545454546,3
Netherlands_Antilles,9,0.875,0
Botswana,8,0.9444444444444444,0
French_Polynesia,8,0.8888888888888888,0
Azerbaijan,8,0.9743589743589743,0
Guadeloupe,8,0.8518518518518519,0
Antigua_and_Barbuda,8,0.631578947368421,6
Federated_States_of_Micronesia,8,1.0,10
Montenegro,8,0.8947368421052632,0
Montserrat,8,0.7272727272727273,0
West_Bank,8,0.9230769230769231,2
Falkland_Islands,8,0.6428571428571429,4
Albania,8,0.8571428571428571,4
Easter_Island,8,0.9545454545454546,0
C%C3%B4te_d%27Ivoire,7,0.9166666666666666,2
Saint_Helena,7,1.0,1
The_Gambia,7,0.38461538461538464,5
Grenada,7,0.8,2
Turkmenistan,7,0.9130434782608695,2
Equatorial_Guinea,7,0.875,1
Guinea-Bissau,7,0.875,2
Andorra,7,1.0,1
Guam,6,0.9655172413793104,1
Mauritania,6,0.8888888888888888,0
Honduras,6,0.8,2
Abkhazia,6,0.9230769230769231,2
Georgia_%28country%29,5,1.0,1
Bosnia_and_Herzegovina,5,0.9117647058823529,1
Tuvalu,5,0.8532110091743119,3
South_Ossetia,5,0.75,1
Martinique,4,1.0,1
British_Indian_Ocean_Territory,3,1.0,1
Saint_Kitts_and_Nevis,3,0.8888888888888888,0
Saint_Vincent_and_the_Grenadines,3,0.9142857142857143,1
