Country,Barometer Rank,ODB,Readiness,Implementation,Impact,2013 ODB,ODB Change,2013 Rank,Rank Change,
UK,1,100,98,100,100,100,0,1,0,,
US,2,92.66,96,88,100,93.38,-0.72,2,0,,
Sweden,3,83.7,100,76,88,85.75,-2.05,3,0,,
France,4,80.21,91,75,84,63.92,16.29,10,6,,
New Zealand,4,80.01,81,88,55,74.34,5.67,4,0,,
Netherlands,6,75.79,95,76,57,63.66,12.13,10,4,,
Norway,7,74.59,88,73,64,71.86,2.73,5,-2,,
Canada,7,74.52,90,75,58,65.87,8.65,8,1,,
Denmark,9,70.13,94,54,95,71.78,-1.65,5,-4,,
Australia,10,68.33,92,69,43,67.68,0.65,7,-3,,
Germany,10,67.63,85,67,53,65.01,2.62,9,-1,,
Finland,12,66.49,93,54,78,49.44,17.05,14,2,,
Estonia,13,60.18,84,51,64,49.45,10.73,14,1,,
Spain,13,59.89,78,60,42,48.19,11.7,17,4,,
Chile,15,58.7,69,73,8,40.11,18.59,25,10,,
Austria,15,58.52,83,42,84,46.03,12.49,18,3,,
Czech Republic,17,58.07,64,61,46,43.18,14.89,22,5,,
Korea,17,57.65,79,54,48,54.21,3.44,12,-5,,
Japan,19,53.58,81,53,30,49.17,4.41,14,-5,,
Israel,20,52.97,70,51,43,45.58,7.39,18,-2,,
Brazil,21,52.13,66,63,9,36.83,15.3,28,7,,
Switzerland,22,51.33,81,38,63,43.24,8.09,22,0,,
Italy,22,50.58,55,54,36,45.3,5.28,20,-2,,
Mexico,24,50.09,67,54,24,40.3,9.79,25,1,,
Uruguay,25,49.37,66,51,29,33.04,16.33,34,9,,
Russia,26,48.25,54,48,45,44.79,3.46,20,-6,,
Belgium,27,47.29,86,30,60,34.8,12.49,31,4,,
Iceland,27,46.57,73,37,49,51.01,-4.44,13,-14,,
Portugal,29,46.12,70,50,14,38.63,7.49,27,-2,,
Singapore,29,46.06,71,39,43,36.29,9.77,29,0,,
Greece,31,40.79,60,43,16,27.59,13.2,37,6,,
Ireland,31,40.74,74,39,14,35.76,4.98,29,-2,,
Hungary,33,38.26,48,38,33,26.09,12.17,42,9,,
Peru,33,37.74,44,49,0,21.74,16,47,14,,
Poland,35,36.99,46,46,5,,,,,,
Indonesia,36,36.18,46,41,17,18.66,17.52,52,16,,
Argentina,36,35.71,48,37,23,35,0.71,31,-5,,
Ecuador,38,35.03,42,43,6,21.12,13.91,50,12,,
India,39,33.15,56,37,3,33.38,-0.23,34,-5,,
Colombia,40,32.38,54,30,21,26.71,5.67,40,0,,
Costa Rica,41,31.26,56,33,6,31.21,0.05,36,-5,,
Turkey,41,31.24,47,35,6,27.58,3.66,37,-4,,
Malaysia,41,30.76,44,37,3,,,,,,
South Africa,41,30.7,48,31,15,19.2,11.5,52,11,,
Tunisia,45,28.57,58,19,30,21.02,7.55,50,5,,
China,46,28.12,52,24,19,11.82,16.3,61,15,,
Rwanda,46,28.05,36,35,3,24.27,3.78,45,-1,,
Ghana,46,27.99,35,36,0,21.6,6.39,47,1,,
Jamaica,49,26.26,42,27,11,22.69,3.57,46,-3,,
Kazakhstan,49,25.87,40,30,3,27.61,-1.74,37,-12,,
Kenya,49,25.8,42,23,20,43.06,-17.26,22,-27,,
UAE,52,24.86,53,22,8,,,,,,
Philippines,53,23.19,58,18,8,21.91,1.28,47,-6,,
Mauritius,54,21.86,35,25,3,26.08,-4.22,42,-12,,
Ukraine,55,21.23,37,23,6,,,,,,
Morocco,55,21.11,47,15,18,27.24,-6.13,40,-15,,
Vietnam,57,18.23,16,26,3,,,,,,
Thailand,57,18.19,33,21,0,35.33,-17.14,31,-26,,
Mozambique,59,16.2,21,22,0,,,,,,
Saudi Arabia,59,15.77,38,15,0,7.09,8.68,67,8,,
Jordan,61,15.49,40,14,0,9.63,5.86,63,2,,
Bahrain,61,15.38,43,13,0,18.18,-2.8,54,-7,,
Nepal,61,14.56,30,16,0,15.7,-1.14,55,-6,,
Uganda,64,14.46,24,17,3,16.15,-1.69,55,-9,,
Egypt,64,14.17,27,16,0,,,,,,
Qatar,64,13.97,46,9,0,13.09,0.88,60,-4,,
Pakistan,67,12.61,32,11,3,9.7,2.91,63,-4,,
Venezuela,68,12.45,20,16,0,10.91,1.54,62,-6,,
Malawi,68,12.15,26,13,0,14.47,-2.32,59,-9,,
Benin,68,11.98,15,16,0,7.28,4.7,67,-1,,
Tanzania,68,11.69,17,15,3,,,,,,
Nigeria,68,11.53,39,6,6,4.35,7.18,75,7,,
Bangladesh,68,11.5,24,12,3,9.56,1.94,63,-5,,
Burkina Faso,74,11.32,31,10,0,7.35,3.97,67,-7,,
Senegal,74,10.56,34,8,0,6.46,4.1,71,-3,,
Zimbabwe,76,9.65,20,10,3,5.3,4.35,73,-3,,
Namibia,77,9.44,25,9,0,7,2.44,67,-10,,
Botswana,78,8.39,26,7,0,16.08,-7.69,55,-23,,
Ethiopia,78,7.75,16,9,0,8.7,-0.95,66,-12,,
Zambia,78,7.73,19,8,0,4.23,3.5,75,-3,,
Sierra Leone,78,7.54,19,8,0,,,,,,
Yemen,82,5.8,12,7,3,4.69,1.11,73,-9,,
Cameroon,83,3.77,11,3,3,5.65,-1.88,71,-12,,
Mali,84,3.3,19,0,3,0,3.3,77,-7,,
Haiti,85,1.19,5,2,0,,,,,,
Myanmar,86,0,0,2,0,,,,,,